OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
2360,"Maple, Red",Acer rubrum,No,0,0,349,W KING ST, ,Rear,0,W GRANT ST, , ,2371035.012,259985.3043,40.03802316,-76.31232909,aea751c4-1983-4b8a-a05d-e5d37390111d,Tree,NWQ,Street,-76.31232909,40.03802316
10589,Boxelder,Acer negundo,No,0,0,525,FAIRVIEW AVE, ,Side,0,NEW DORWART ST, , ,2371782.089,256457.5542,40.02830694,-76.30986679,832b3121-f5a3-46cd-b0f4-7750fd37c423,Tree,SWQ,Park,-76.30986679,40.02830694
1933,"Maple, Japanese",Acer palmatum,No,0,0,602,HARRISON ST, ,Side,0,CHESAPEAKE ST, , ,2376645.625,257208.9213,40.03015023,-76.2924578,4f15fcef-595c-435d-a0d6-3268737c4409,Tree,SEQ,Street,-76.2924578,40.03015023
10020,"Locust, Black",Robinia pseudoacacia,No,0,0,240,CIRCLE AVE, ,Front,0,CIRCLE AVE, , ,2379072.912,256238.8238,40.02737727,-76.28384874,55bf1c82-6250-4215-ab68-14db36f8709f,Tree,SEA,Street,-76.28384874,40.02737726
6937,"Zelkova, Japanese",Zelkova serrata,No,0,0,718,THIRD ST, ,Front,0,THIRD ST, , ,2368524.494,258611.5965,40.0343645,-76.3213733,80c1b0d5-543a-44e6-9d4e-cae7fc4417a9,Tree,SWQ,Street,-76.3213733,40.0343645
7435,"Oak, Shingle",Quercus imbricaria,No,0,0,605,MANOR ST, ,Front,0,MANOR ST, , ,2370057.728,258616.84,40.03431068,-76.31589825,2c907351-eab0-47ee-9fe4-ac56e44ebc6f,Tree,SWQ,Street,-76.31589825,40.03431068
7008,Stump,Stump,No,6,4,660,W VINE ST, ,Front,0,W VINE ST, , ,2370342.209,257843.6022,40.03217564,-76.31492731,27f0a3fe-15c4-43cb-9162-bf00569c489d,Stump,SWQ,Street,-76.31492732,40.03217564
2881,"Maple, Norway",Acer platanoides,No,0,0,420,HERSHEY AVE, ,Front,0,HERSHEY AVE, , ,2369765.919,255107.4755,40.02469133,-76.31714355,0727c8b4-b868-4d6c-9edb-26fb3ab9c85a,Tree,SWQ,Street,-76.31714355,40.02469133
4375,"Maple, Sugar",Acer saccharum,No,0,0,825,HAGER ST, ,Front,0,HAGER ST, , ,2371206.663,255646.9108,40.02610766,-76.31196843,35a80d95-f461-4ffb-9828-6ce967156ad8,Tree,SWQ,Street,-76.31196843,40.02610766
582,Stump,Stump,No,99,99,1200,S DUKE ST, ,Front,0,S DUKE ST, , ,2377421.963,255977.4489,40.02673495,-76.28975861,47f0032f-dfe1-4844-8e88-986fd80de2ac,Stump,SEQ,Street,-76.28975861,40.02673494
